Municipality,Average_Elevation,Average_Latitude,Average_Longitude,In_the_tropics,Municipality_Population
01001_Aguascalientes,1880.628566,21.8766759,-102.2944092,1,796737
01002_Asientos,2038.205979,22.14852773,-102.0465922,1,45422
01003_Calvillo,1673.190243,21.85988339,-102.7153303,1,54136
01004_Cosío,1984.899548,22.36695888,-102.2906595,1,15042
01005_Jesús María,1887.107584,21.96411769,-102.3365625,1,99308
01006_Pabellón de Arteaga,1911.236311,22.1353639,-102.2797811,1,41784
01007_Rincón de Romos,1954.412504,22.23813412,-102.3140676,1,49151
01008_San José de Gracia,2076.720597,22.15409231,-102.4427138,1,8443
01009_Tepezalá,1988.180242,22.23295837,-102.2131117,1,19668
01010_El Llano,2026.512868,21.91487813,-102.0191179,1,18767
01011_San Francisco de los Romo,1906.351418,22.03092848,-102.2662282,1,35758
02001_Ensenada,51.21946834,31.5261678,-116.4283782,0,467179
02002_Mexicali,5.086370298,32.573679,-115.3976291,0,936132
02003_Tecate,607.8482547,32.55038918,-116.5788678,0,100985
02004_Tijuana,58.47428671,32.51908925,-117.0016058,0,1559563
02005_Playas de Rosarito,48.33209758,32.34671037,-117.032947,0,90633
03001_Comondú,45.06574893,25.11750084,-111.7606225,0,70754
03002_Mulegé,42.05546548,27.49976588,-113.2389439,0,58595
03003_La Paz,35.3310721,24.10327708,-110.3071827,1,249127
03008_Los Cabos,38.85686149,23.01363936,-109.7992861,1,158413
03009_Loreto,15.80890084,25.98787529,-111.3425761,0,16740
04001_Calkiní,10.5630554,20.37160717,-90.08602743,1,52890
04002_Campeche,8.570587463,19.82501339,-90.51314614,1,258842
04003_Carmen,2.160620471,18.64362983,-91.75764717,1,220800
04004_Champotón,19.45004759,19.32337269,-90.65296912,1,83009
04005_Hecelchakán,19.16689041,20.16211612,-90.12162028,1,28306
04006_Hopelchén,114.1592249,19.63275937,-89.70986972,1,37827
04007_Palizada,-1.139918191,18.24488839,-92.03649183,1,8312
04008_Tenabo,12.69244992,20.01850772,-90.21750709,1,9735
